id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap
Zap-Alam_CasC-005M-165_03-03-02_ASESO-10343-20763,Inm24,Zap,Alamitos,Ven,CasC,165.0,3.0,2.0,5400000.0,,-103.437544,20.76309,,3.0,0.0,32727.272727272728,
Zap-Alba_CasC-001M-076_02-01-01_CityR-10345-20851,Inm24,Zap,Albaterra,Ven,CasC,76.0,2.0,1.0,1050000.0,,-103.451861,20.851601,,1.5,,13815.78947368421,
Zap-Alcá_CasC-028M-422_03-03-04_RBNSA-10342-20694,Inm24,Zap,Alcázar Oriente,Ven,CasC,422.0,3.0,4.0,28000000.0,,-103.426125,20.694961,,3.5,,66350.71090047393,
Zap-Alic_CasC-004M-115_03-03-02_HHASE-10341-20788,Inm24,Zap,Alicante,Ven,CasC,115.0,3.0,2.0,4300000.0,700.0,-103.410577,20.788797,,3.0,0.0,37391.30434782609,
Zap-Alic_CasC-003M-115_04-03-02_Jocel-10341-20787,Inm24,Zap,Alicante,Ven,CasC,115.0,4.0,2.0,3950000.0,,-103.412483,20.787505,,3.0,0.0,34347.82608695652,
Zap-Alic_CasC-004M-173_03-02-02_Grupo-10341-20786,Inm24,Zap,Alicante,Ven,CasC,173.0,3.0,2.0,4390000.0,,-103.411807,20.786997,,2.5,0.0,25375.7225433526,
Zap-Alic_CasC-004M-217_03-03-02_Denis-10341-20788,Inm24,Zap,Alicante,Ven,CasC,217.0,3.0,2.0,4890000.0,800.0,-103.410577,20.788797,,3.5,0.0,22534.562211981567,
Zap-Alma_CasC-002M-140_03-03-02_Adell-10347-20783,Inm24,Zap,Alma Terra,Ven,CasC,140.0,3.0,2.0,2300000.0,,-103.475781,20.783589,,3.0,,16428.571428571428,
Zap-Altu_CasC-002M-147_03-02-02_reyna-10347-20780,Inm24,Zap,Altus Quintas,Ven,CasC,147.0,3.0,2.0,2890000.0,,-103.479987,20.780815,,2.5,0.0,19659.863945578232,
Zap-Arau_CasC-017M-431_04-05-03_Piso9-10346-20734,Inm24,Zap,Arauca I,Ven,CasC,431.0,4.0,3.0,17446000.0,,-103.46346,20.734673,,5.0,0.0,40477.95823665893,
Zap-Arau_CasC-020M-450_04-04-04_BROKO-10346-20734,Inm24,Zap,Arauca I,Ven,CasC,450.0,4.0,4.0,20490000.0,,-103.46346,20.734673,,4.0,,45533.333333333336,
Zap-Arau_CasC-014M-343_04-03-00_Grupo-10346-20733,Inm24,Zap,Arauca I,Ven,CasC,343.0,4.0,,14150000.0,,-103.463123,20.733597,,3.5,,41253.644314868805,
Zap-Arau_CasC-019M-405_03-03-04_Royal-10346-20734,Inm24,Zap,Arauca II,Ven,CasC,405.0,3.0,4.0,19990000.0,,-103.466283,20.734332,,3.5,0.0,49358.02469135803,
Zap-Arbo_CasC-002M-130_02-02-02_KWGRA-10346-20784,Inm24,Zap,Arboreto Residencial,Ven,CasC,130.0,2.0,2.0,2650000.0,800.0,-103.467905,20.784664,,2.5,,20384.615384615383,
Zap-Arbo_CasC-002M-142_03-02-02_TOPTE-10346-20781,Inm24,Zap,Arboreto Residencial,Ven,CasC,142.0,3.0,2.0,2880000.0,600.0,-103.4663,20.781552,,2.5,,20281.690140845072,
Zap-Arbo_CasC-002M-142_03-03-03_SOLAR-10346-20783,Inm24,Zap,Arboreto Residencial,Ven,CasC,142.0,3.0,3.0,2880000.0,600.0,-103.468625,20.783183,,3.0,,20281.690140845072,
Zap-Arco_CasC-008M-110_03-03-02_Disti-10343-20669,Inm24,Zap,Arcos de Guadalupe,Ven,CasC,110.0,3.0,2.0,8200000.0,2400.0,-103.436638,20.669747,,3.5,,74545.45454545454,
Zap-Armo_CasC-004M-185_03-03-02_Balta-10344-20745,Inm24,Zap,Armonía,Ven,CasC,185.0,3.0,2.0,4800000.0,800.0,-103.444089,20.745843,,3.0,,25945.945945945947,
